Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 18:16:44,2019-07-12 18:20:45,4m - 0.504s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 18:16:45,2019-07-12 18:17:10,25.012s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 18:16:46,2019-07-12 18:17:05,19.052s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 18:17:05,2019-07-12 18:17:10,5.039s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 18:17:10,2019-07-12 18:20:45,3m - 35.092s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 18:17:10,2019-07-12 18:17:14,4.521s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 18:17:14,2019-07-12 18:17:18,3.771s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 18:17:18,2019-07-12 18:17:19,0.627s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 18:17:19,2019-07-12 18:17:21,2.554s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 18:17:21,2019-07-12 18:20:45,3m - 23.275s,ERROR
