Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandiser With Chiller Level Overwrite Scenarios,,,2019-04-19 17:14:42,2019-04-19 17:15:20,38.220s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-19 17:14:42,2019-04-19 17:15:06,23.861s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_170419_local_v154 (2).apk"", false)",,launch application,2019-04-19 17:14:43,2019-04-19 17:15:01,17.603s,PASSED
delay(5),,delay of 5 seconds,2019-04-19 17:15:01,2019-04-19 17:15:06,5.043s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChillerLevelOverwriteScenarios,,,2019-04-19 17:15:06,2019-04-19 17:15:20,13.826s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-19 17:15:06,2019-04-19 17:15:11,4.811s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-19 17:15:11,2019-04-19 17:15:15,4.233s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-19 17:15:15,2019-04-19 17:15:17,1.362s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-19 17:15:17,2019-04-19 17:15:18,1.441s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_ChillerLevel_OverwriteScenarios(),,,2019-04-19 17:15:18,2019-04-19 17:15:20,1.527s,ERROR
