Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising Data Verification,,,2019-04-19 14:20:25,2019-04-19 14:21:18,52.881s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-19 14:20:26,2019-04-19 14:20:52,26.391s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_170419_local_v154 (2).apk"", false)",,launch application,2019-04-19 14:20:28,2019-04-19 14:20:47,19.644s,PASSED
delay(5),,delay of 5 seconds,2019-04-19 14:20:47,2019-04-19 14:20:52,5.059s,PASSED
,,,,,,
Test Cases/Attendence/VisitAttendance,,,2019-04-19 14:20:52,2019-04-19 14:21:08,15.900s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate dashboard screen appearance,2019-04-19 14:20:53,2019-04-19 14:20:59,5.796s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select the current day for further proceed,2019-04-19 14:20:59,2019-04-19 14:21:08,9.276s,FAILED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-04-19 14:21:08,2019-04-19 14:21:18,9.674s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-19 14:21:09,2019-04-19 14:21:09,0.194s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-19 14:21:09,2019-04-19 14:21:18,8.906s,FAILED
