Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising Data Verification,,,,2019-06-18 14:33:01,2019-06-18 14:42:36,9m - 34.371s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-06-18 14:33:02,2019-06-18 14:33:29,27.225s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_170419_local_v154 (2).apk"", false)",,launch application,,2019-06-18 14:33:03,2019-06-18 14:33:24,21.596s,PASSED
delay(5),,delay of 5 seconds,,2019-06-18 14:33:24,2019-06-18 14:33:29,5.057s,PASSED
,,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,,2019-06-18 14:33:29,2019-06-18 14:42:36,9m - 6.558s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-06-18 14:33:29,2019-06-18 14:33:33,3.817s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,,2019-06-18 14:33:33,2019-06-18 14:33:37,3.679s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-06-18 14:33:37,2019-06-18 14:33:38,1.554s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-06-18 14:33:38,2019-06-18 14:33:41,2.617s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-06-18 14:33:41,2019-06-18 14:42:36,8m - 54.615s,FAILED
