Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Category Level Overwrite Scenarios,,,2019-04-05 16:59:36,2019-04-05 17:00:12,35.058s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-05 16:59:37,2019-04-05 17:00:00,22.822s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-05 16:59:38,2019-04-05 16:59:55,16.989s,PASSED
delay(5),,delay of 5 seconds,2019-04-05 16:59:55,2019-04-05 17:00:00,5.046s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevelOverwriteScenarios,,,2019-04-05 17:00:00,2019-04-05 17:00:12,11.334s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-05 17:00:00,2019-04-05 17:00:04,3.651s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-05 17:00:04,2019-04-05 17:00:08,3.512s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-05 17:00:08,2019-04-05 17:00:09,1.031s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-05 17:00:09,2019-04-05 17:00:11,2.550s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_CategoryLevel_OverwriteScenarios(),,"select shops from shops list with ""Shop Level"" overwriting ",2019-04-05 17:00:11,2019-04-05 17:00:12,0.305s,PASSED
