Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Category Level(Chiller Utilization) Overwrite Scenarios,,,2018-09-05 17:50:52,2018-09-05 17:52:45,1m - 52.983s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-09-05 17:50:53,2018-09-05 17:51:19,25.728s,PASSED
startApplication,,launch application,2018-09-05 17:50:54,2018-09-05 17:51:14,19.734s,PASSED
delay,,delay of 5 seconds,2018-09-05 17:51:14,2018-09-05 17:51:19,5.041s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevel(Chiller Utilization)Overwriting,,,2018-09-05 17:51:19,2018-09-05 17:52:45,1m - 26.461s,FAILED
verifyElementText,,validate the dashboard screen appearance,2018-09-05 17:51:19,2018-09-05 17:51:20,0.662s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-09-05 17:51:20,2018-09-05 17:51:24,4.566s,PASSED
tap,,tap on start your day button to further proceed,2018-09-05 17:51:24,2018-09-05 17:51:25,0.730s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-09-05 17:51:25,2018-09-05 17:51:27,1.900s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWithCategoryLevel_ChillerUtilization_Overwriting,,"select shops from shops list with ""Shop Level"" overwriting ",2018-09-05 17:51:27,2018-09-05 17:52:45,1m - 18.430s,FAILED
