Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Channel Wise Data Verification,,,2018-08-06 18:47:16,2018-08-06 18:48:57,1m - 41.230s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-08-06 18:47:17,2018-08-06 18:47:38,21.862s,PASSED
startApplication,,launch application,2018-08-06 18:47:17,2018-08-06 18:47:33,16.061s,PASSED
delay,,delay of 5 seconds,2018-08-06 18:47:33,2018-08-06 18:47:38,5.115s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-08-06 18:47:38,2018-08-06 18:48:57,1m - 18.923s,ERROR
verifyElementText,,validate the dashboard screen appearance,2018-08-06 18:47:39,2018-08-06 18:47:39,0.543s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-08-06 18:47:39,2018-08-06 18:47:43,3.486s,PASSED
tap,,tap on start your day button to further proceed,2018-08-06 18:47:43,2018-08-06 18:47:44,1.055s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-08-06 18:47:44,2018-08-06 18:47:45,1.568s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithDataVerification,,select shops from shops list for data verification,2018-08-06 18:47:45,2018-08-06 18:48:57,1m - 11.938s,ERROR
