Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Chiller Data Verification,,,2018-07-27 16:37:29,2018-07-27 17:45:31,1h - 8m - 2.024s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-07-27 16:37:29,2018-07-27 16:37:54,25.309s,PASSED
startApplication,,launch application,2018-07-27 16:37:30,2018-07-27 16:37:49,19.473s,PASSED
delay,,delay of 5 seconds after starting application,2018-07-27 16:37:49,2018-07-27 16:37:54,5.041s,PASSED
,,,,,,
Test Cases/DistributionPoint/VisitDistributionPoint,,,2018-07-27 16:37:54,2018-07-27 16:38:37,42.558s,PASSED
verifyElementText,,validate dashboard screen appearance,2018-07-27 16:37:55,2018-07-27 16:37:56,0.933s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select the current day for further proceed,2018-07-27 16:37:56,2018-07-27 16:37:59,3.187s,PASSED
tap,,tap on start your day button,2018-07-27 16:37:59,2018-07-27 16:38:00,1.341s,PASSED
delay,,delay of 15 seconds for check in through map screen,2018-07-27 16:38:00,2018-07-27 16:38:15,15.026s,PASSED
verifyElementExist,,validate map screen appearance,2018-07-27 16:38:15,2018-07-27 16:38:17,1.350s,PASSED
tap,,tap on check in button through map,2018-07-27 16:38:17,2018-07-27 16:38:17,0.504s,PASSED
verifyElementExist,,validate confirm popup appearance,2018-07-27 16:38:17,2018-07-27 16:38:18,1.114s,PASSED
tap,,tap on confirm popup no button,2018-07-27 16:38:18,2018-07-27 16:38:20,1.418s,PASSED
verifyElementText,,validate channel summary detail screen appearance,2018-07-27 16:38:20,2018-07-27 16:38:20,0.388s,PASSED
tap,,tap on next button to further proceed,2018-07-27 16:38:20,2018-07-27 16:38:21,0.932s,PASSED
verifyElementText,,validate distribution point screen appearance,2018-07-27 16:38:21,2018-07-27 16:38:23,1.797s,PASSED
com.ct.qa.keywords.DistributionPointKeywords.visitdistributionPoint,,enter quantity of products on distribution point,2018-07-27 16:38:23,2018-07-27 16:38:36,13.404s,PASSED
tap,,tap on submit button after enter the quantity of products on distribution point,2018-07-27 16:38:36,2018-07-27 16:38:37,0.908s,PASSED
,,,,,,
Test Cases/VisitShops/VisitShopWithChillerNotAllocatedForDataVerification,,,2018-07-27 16:38:37,2018-07-27 17:45:31,1h - 6m - 53.616s,FAILED
verifyElementText,,validate the dashboard screen appearance,2018-07-27 16:38:37,2018-07-27 16:38:39,1.344s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,,2018-07-27 16:38:39,2018-07-27 16:38:40,1.666s,PASSED
tap,,tap on start your day button to further proceed,2018-07-27 16:38:40,2018-07-27 16:38:41,0.781s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-07-27 16:38:41,2018-07-27 16:38:43,1.611s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithChillerNotAllocatedDataVerification,,select shops from shops list,2018-07-27 16:38:43,2018-07-27 17:45:31,1h - 6m - 47.923s,FAILED
