Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Chiller Utilization Data Verification,,,2018-07-30 14:49:55,2018-07-30 15:10:06,20m - 11.571s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-07-30 14:49:55,2018-07-30 14:50:19,23.674s,PASSED
startApplication,,launch application,2018-07-30 14:49:56,2018-07-30 14:50:14,17.903s,PASSED
delay,,delay of 5 seconds after starting application,2018-07-30 14:50:14,2018-07-30 14:50:19,5.061s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-07-30 14:50:19,2018-07-30 15:10:06,19m - 47.390s,PASSED
verifyElementText,,validate the dashboard screen appearance,2018-07-30 14:50:19,2018-07-30 14:50:27,7.632s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,,2018-07-30 14:50:27,2018-07-30 14:50:30,3.262s,PASSED
tap,,tap on start your day button to further proceed,2018-07-30 14:50:30,2018-07-30 14:50:31,0.668s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-07-30 14:50:31,2018-07-30 14:50:33,1.835s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithDataVerification,,select shops from shops list,2018-07-30 14:50:33,2018-07-30 15:10:06,19m - 33.694s,PASSED
