Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Chiller Wise Data Verification,,,2018-10-02 18:08:24,2018-10-02 18:12:59,4m - 34.909s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-10-02 18:08:25,2018-10-02 18:08:50,25.092s,PASSED
startApplication,,launch application,2018-10-02 18:08:25,2018-10-02 18:08:45,19.472s,PASSED
delay,,delay of 5 seconds,2018-10-02 18:08:45,2018-10-02 18:08:50,5.037s,PASSED
,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,2018-10-02 18:08:50,2018-10-02 18:09:42,51.779s,PASSED
verifyElementText,,,2018-10-02 18:08:50,2018-10-02 18:08:55,4.978s,PASSED
swipe,,,2018-10-02 18:08:55,2018-10-02 18:08:56,0.800s,PASSED
swipe,,,2018-10-02 18:08:56,2018-10-02 18:08:57,0.748s,PASSED
verifyElementExist,,,2018-10-02 18:08:57,2018-10-02 18:08:57,0.484s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.valideSliderOptions,,,2018-10-02 18:08:57,2018-10-02 18:09:10,12.930s,PASSED
swipe,,,2018-10-02 18:09:10,2018-10-02 18:09:11,0.755s,PASSED
swipe,,,2018-10-02 18:09:11,2018-10-02 18:09:12,0.718s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-10-02 18:09:12,2018-10-02 18:09:18,6.537s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-10-02 18:09:18,2018-10-02 18:09:29,11.018s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-10-02 18:09:29,2018-10-02 18:09:40,11.011s,PASSED
swipe,,,2018-10-02 18:09:40,2018-10-02 18:09:41,0.728s,PASSED
swipe,,,2018-10-02 18:09:41,2018-10-02 18:09:42,0.746s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.displayMissingSliderOptionsInReport,,,2018-10-02 18:09:42,2018-10-02 18:09:42,0.008s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChillerWiseDataVerification,,,2018-10-02 18:09:42,2018-10-02 18:12:59,3m - 17.534s,FAILED
verifyElementText,,validate the dashboard screen appearance,2018-10-02 18:09:42,2018-10-02 18:09:42,0.304s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-10-02 18:09:42,2018-10-02 18:09:44,1.877s,PASSED
tap,,tap on start your day button to further proceed,2018-10-02 18:09:44,2018-10-02 18:09:45,0.570s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-10-02 18:09:45,2018-10-02 18:09:46,1.593s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithChillerWiseDataVerification,,select shops from shops list for data verification,2018-10-02 18:09:46,2018-10-02 18:12:59,3m - 12.955s,FAILED
