Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Shop Level Overwrite Scenarios,,,2018-08-10 18:53:04,2018-08-10 18:54:03,59.196s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-08-10 18:53:04,2018-08-10 18:53:28,23.420s,PASSED
startApplication,,launch application,2018-08-10 18:53:05,2018-08-10 18:53:23,17.625s,PASSED
delay,,delay of 5 seconds,2018-08-10 18:53:23,2018-08-10 18:53:28,5.066s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithShopLevelOverwriting,,,2018-08-10 18:53:28,2018-08-10 18:54:03,35.257s,FAILED
verifyElementText,,validate the dashboard screen appearance,2018-08-10 18:53:28,2018-08-10 18:53:29,0.920s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-08-10 18:53:29,2018-08-10 18:53:34,4.808s,PASSED
tap,,tap on start your day button to further proceed,2018-08-10 18:53:34,2018-08-10 18:53:34,0.694s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-08-10 18:53:34,2018-08-10 18:53:37,2.566s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWithShopLevelOverwriting,,"select shops from shops list with ""Shop Level"" overwriting ",2018-08-10 18:53:37,2018-08-10 18:54:03,25.957s,FAILED
