Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising Data Verification,,,2018-12-17 17:13:39,2018-12-17 17:20:48,7m - 8.720s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-12-17 17:13:39,2018-12-17 17:14:02,22.489s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_061218_local_v151.apk"", false)",,launch application,2018-12-17 17:13:40,2018-12-17 17:13:57,16.645s,PASSED
delay(5),,delay of 5 seconds,2018-12-17 17:13:57,2018-12-17 17:14:02,5.051s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-12-17 17:14:02,2018-12-17 17:20:48,6m - 45.835s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2018-12-17 17:14:02,2018-12-17 17:14:06,3.496s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2018-12-17 17:14:06,2018-12-17 17:14:09,3.145s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2018-12-17 17:14:09,2018-12-17 17:14:10,1.269s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2018-12-17 17:14:10,2018-12-17 17:14:12,1.578s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2018-12-17 17:14:12,2018-12-17 17:20:48,6m - 35.995s,PASSED
