Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising With Category Level Overwrite Scenarios,,,2018-12-12 18:12:00,2018-12-12 18:20:38,8m - 38.008s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-12-12 18:12:01,2018-12-12 18:12:28,27.049s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_061218_local_v151.apk"", false)",,launch application,2018-12-12 18:12:02,2018-12-12 18:12:23,21.014s,PASSED
delay(5),,delay of 5 seconds,2018-12-12 18:12:23,2018-12-12 18:12:28,5.050s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevelOverwriting,,,2018-12-12 18:12:28,2018-12-12 18:20:38,8m - 10.253s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2018-12-12 18:12:29,2018-12-12 18:12:35,6.307s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2018-12-12 18:12:35,2018-12-12 18:12:38,3.266s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2018-12-12 18:12:38,2018-12-12 18:12:39,1.059s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2018-12-12 18:12:39,2018-12-12 18:12:41,1.526s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_CategoryLevel_Overwriting(),,"select shops from shops list with ""Shop Level"" overwriting ",2018-12-12 18:12:41,2018-12-12 18:20:38,7m - 57.658s,ERROR
