Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising With Channel Wise Data Verification,,,2018-12-03 14:57:49,2018-12-03 15:01:05,3m - 15.628s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-12-03 14:57:50,2018-12-03 14:58:13,23.058s,PASSED
startApplication,,launch application,2018-12-03 14:57:50,2018-12-03 14:58:08,17.389s,PASSED
delay,,delay of 5 seconds,2018-12-03 14:58:08,2018-12-03 14:58:13,5.040s,PASSED
,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,2018-12-03 14:58:13,2018-12-03 14:59:24,1m - 11.060s,PASSED
verifyElementText,,,2018-12-03 14:58:13,2018-12-03 14:58:16,3.265s,PASSED
swipe,,,2018-12-03 14:58:16,2018-12-03 14:58:17,0.814s,PASSED
swipe,,,2018-12-03 14:58:17,2018-12-03 14:58:18,0.729s,PASSED
verifyElementExist,,,2018-12-03 14:58:18,2018-12-03 14:58:18,0.410s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.valideSliderOptions,,,2018-12-03 14:58:18,2018-12-03 14:58:43,24.871s,PASSED
swipe,,,2018-12-03 14:58:43,2018-12-03 14:58:44,0.750s,PASSED
swipe,,,2018-12-03 14:58:44,2018-12-03 14:58:45,0.708s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-12-03 14:58:45,2018-12-03 14:58:52,6.772s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-12-03 14:58:52,2018-12-03 14:59:05,13.025s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-12-03 14:59:05,2018-12-03 14:59:22,17.873s,PASSED
swipe,,,2018-12-03 14:59:22,2018-12-03 14:59:23,0.723s,PASSED
swipe,,,2018-12-03 14:59:23,2018-12-03 14:59:24,0.711s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.displayMissingSliderOptionsInReport,,,2018-12-03 14:59:24,2018-12-03 14:59:24,0.010s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-12-03 14:59:24,2018-12-03 15:01:05,1m - 40.899s,FAILED
verifyElementText,,validate the dashboard screen appearance,2018-12-03 14:59:24,2018-12-03 14:59:24,0.225s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-12-03 14:59:24,2018-12-03 14:59:27,2.391s,PASSED
tap,,tap on start your day button to further proceed,2018-12-03 14:59:27,2018-12-03 14:59:28,1.099s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-12-03 14:59:28,2018-12-03 14:59:29,1.507s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification,,select shops from shops list for data verification,2018-12-03 14:59:29,2018-12-03 15:01:05,1m - 35.422s,FAILED
